Colony,treatment,treatmentcode,avgsize,stdevsize,totalincol,lifespan,maleemergence,workersproduced,malesproduced,queensproduced,callowsproduced,avgsizeproduced
S1,S,1,3.78,0.36,205,22,14,504,1,0,505,4.171774194
L1,L,3,4.78,0.31,167,25,12,651,25,10,686,4.176347607
S2,S,1,3.69,0.39,155,6,79,331,1,0,332,4.073936652
M2,M,2,4.2,0.4,146,21,28,200,194,6,400,4.303303167
L2,L,3,4.76,0.31,152,29,52,412,16,18,446,4.011796537
S3,S,1,3.84,0.33,253,54,-6,693,442,9,1144,4.327007194
M3,M,2,4.55,0.52,212,60,8,904,432,2,1338,4.539138122
L3,L,3,5.27,0.25,219,57,-7,915,570,1,1486,4.43157377
S4,S,1,3.89,0.37,190,51,-7,39,567,113,719,4.272142857
M4,M,2,4.45,0.52,157,50,15,966,319,0,1285,4.474637527
L4,L,3,5.04,0.36,177,41,20,10,817,106,933,4.719655172
S5,S,1,3.94,0.47,145,85,-17,193,456,89,738,4.234770642
M5,M,2,4.4,0.62,140,58,-9,700,547,2,1249,4.190423358
L5,L,3,5.09,0.35,142,77,-2,301,731,3,1035,4.294960836
S6,S,1,3.84,0.49,190,27,45,983,94,1,1078,4.063824131
M6,M,2,4.34,0.53,213,20,2,246,474,171,891,4.128320313
L6,L,3,4.85,0.42,238,19,75,1020,76,2,1098,3.903113135
S7,S,1,3.73,0.44,188,3,48,974,210,0,1184,3.78527551
M7,M,2,4.13,0.57,211,9,61,987,207,0,1194,3.856147508
L7,L,3,4.76,0.36,169,12,25,1022,187,0,1209,3.918966862
