"BehaviorSpace results (NetLogo 6.2.2)"
"Communication MASTER model.nlogo"
"Testing_Foraging_test_comm_w_err_HPC"
"06/09/2022 06:48:02:947 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-150","150","-150","150"
"[run number]","simulation-duration","record-exploration","number-of-ants","world-size","cluster-radius","number-of-clusters","resources-per-cluster","value-per-resource","handling-time","probability-activate-exploiters","probability-activate-explorers","probability-inactivate-exploiters","probability-inactivate-explorers","prob-starting-yellow","tortuosity","steplength","search-slowdown-factor","sense-radius","error-level","error-probability","open-probability","close-probability","prop-res-initially-closed","communication-mode","signal-strength","pheromone-deposited","pheromone-fade-rate","communication-time-cost","movement-algorithm","MODULE_INITIAL_RESOURCES","MODULE_RESOURCE_BEHAVIOR","MODULE_RESOURCE_QUALITY","MODULE_1ON1_COMMUNICATION","MODULE_INDIV_ERRORS","MODULE_SEARCH_PATH_ALGORITHM","[step]","total-available-resource-value","average-resource-quality","average-resource-distance","total-no-of-resources","proportion-patches-explored","timesteps-firstcollected","collected-resource-units","total-resources-discovered","timesteps-halfcollected","timesteps-allcollected","timesteps-firstresourceempty","average-number-of-resources-concurrently-exploited","total-agent-timesteps-spent-inactive","total-agent-timesteps-spent-searching","total-agent-timesteps-spent-collecting","proportion-agents-who-collected","unsuccessful-search-trips","average-search-distance","successful-search-trips","amount-collected-by-top-ants","average-exploited-resource-distance","average-exploited-resource-quality","total-acts-of-receiving-info","runtime","no-of-patches","oddness"
"1","2000","true","50","300","5","5","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","75.80265200079366","50","0.049315128972086404","-9","0","0","-9","-9","-9","0","83573","14958","0","0","54","23.413253921126607","0","0","300","0","0","226.216","90601","0"
"2","2000","true","50","300","5","10","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","105.39798927935128","100","0.05039679473736493","44","50","10","-9","-9","179","1.5112556278139069","81086","14779","2650","0.1","63","22.317226120463822","11","0","25.123261523807013","0","0","253.583","90601","0"
"3","2000","true","50","300","5","50","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","111.67187596977215","500","0.052935398064039026","85","73","16","-9","-9","413","3.902951475737869","76057","15415","7273","0.16","56","23.43540778549269","17","0","49.46128749937573","0","0","299.76","90601","0"
"4","2000","true","50","300","5","100","10","5","0","0.1","3.7E-4","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","111.18373141262495","1000","0.05600379686758424","7","306","63","-9","-9","41","8.471235617808905","68522","15008","15150","0.52","56","26.68992797157912","84","12","23.88118633967825","0","0","327.696","90601","0"
"5","2000","true","50","300","5","5","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","123.40780470870513","50","0.09637862716747056","-9","0","0","-9","-9","-9","0","45476","50570","0","0","184","22.70545705965304","0","0","300","0","0","717.467","90601","0"
"8","2000","true","50","300","5","100","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","5000","5","105.80354652933394","1000","0.06673215527422435","10","481","103","-9","-9","44","15.143071535767884","34436","35508","27028","0.96","124","20.040353010132602","143","14","26.96795220627897","0","0","694.242","90601","0"
"7","2000","true","50","300","5","50","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","2500","5","106.8599527226048","500","0.0749329477599585","22","256","54","-9","-9","70","8.549774887443721","42282","38486","15643","0.68","157","20.851101189460813","76","8.5","29.73397151592208","0","0","742.398","90601","0"
"6","2000","true","50","300","5","10","10","5","0","0.1","0.0037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","97.20123164189803","100","0.09555082173485945","1573","4","1","-9","-9","-9","0.21310655327663833","40345","54911","406","0.02","188","24.208388480214055","1","0","65.1763134250526","0","0","832.463","90601","0"
"9","2000","true","50","300","5","5","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","250","5","109.12401892320742","50","0.11621284533283296","-9","0","0","-9","-9","-9","0","8885","83496","0","0","296","23.026888537539705","0","0","300","0","0","1092.116","90601","0"
"10","2000","true","50","300","5","10","10","5","0","0.1","0.037","0.001","0.0037","0.25","60","1","1","0.5","20","0.01","0","0","0.5","none","0.1","1","0.005","0","correlated-random-walk","kenny_clustering","none","uniform","receiver_led","none","uniform step correlated random walk","2000","500","5","118.4392134941345","100","0.11810024171918632","316","20","4","-9","-9","856","1.1295647823911956","8258","82554","2090","0.06","308","23.694293651986314","5","0","55.53569209252551","0","0","1076.329","90601","0"
